,QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
531,IUQG-35,CTM,Level,Y,N,55,20,28.24,688.45,Y,527,1,-999997,7,20,8,9,0,-999997
532,YVLZ-98,Direct,Level accelerated,N,Y,46,20,30.37,749.4,Y,527,1,-999997,7,20,8,9,0,-999997
533,DMTU-87,CTM,Level with CI,N,Y,51,40,26.1,627.51,Y,527,1,-999997,7,20,8,9,0,-999997
534,HKSL-86,MSM,Level,N,N,43,30,28.24,688.45,Y,527,1,-999997,7,20,8,9,0,-999997
535,QRQZ-49,CTM,Level,Y,Y,35,30,32.12,779.3,Y,527,1,-999997,7,20,8,9,0,-999997
536,SUSD-51,MSM,Decreasing with CI,Y,Y,47,20,102.66,2788.81,N,489,NULL,-999997,-999997,14,5,1,-999997,NULL
537,OEOH-86,Direct,Level,Y,N,32,30,24.85,521.23,N,556,2,-999997,7,14,3,4,0,-999997
538,RONB-40,Direct,Decreasing,N,Y,37,30,26.68,556.43,N,556,2,-999997,7,14,3,4,0,-999997
539,KHPS-78,CTM,Decreasing with CI,Y,Y,49,20,61.5,1291.41,Y,544,0,23,4,{ND},7,99,0,-999997
540,CWAC-24,Direct,Decreasing with CI,N,Y,51,20,7.77,199.73,N,538,2,37,5,23,7,9,0,-999997
541,GHKA-85,Direct,Level,Y,N,35,5,6.23,216.7,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
542,MJGR-71,CTM,Level with CI,Y,N,53,30,8.76,279.05,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
543,PYAP-94,CTM,Level with CI,Y,N,44,40,9.9,339.83,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
544,TUUB-48,Direct,Level,Y,Y,33,20,11.06,384.61,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
545,GBUT-16,MSM,Decreasing accelerated,Y,N,38,5,3.59,114.49,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
546,PUZE-30,CTM,Level with CI,Y,N,42,20,3.9,133.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
547,CPMF-20,Direct,Level,Y,Y,51,30,4.3,149.53,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
548,GQGD-54,CTM,Level,Y,N,40,30,3.84,122.32,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
549,FWYI-68,CTM,Level,Y,N,43,30,4.19,143.7,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
550,GYMB-86,MSM,Level with CI,N,Y,46,30,4.62,160.73,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
551,VZIU-19,CTM,Level,Y,N,41,30,6.31,172.28,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
552,NBWE-21,CTM,Level with CI,Y,N,44,5,6.9,197.9,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
553,STBA-46,CTM,Level,N,Y,44,20,7.6,213.52,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
554,BGNT-75,Direct,Level,N,Y,46,20,12.02,328.2,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
555,OAEC-84,CTM,Decreasing with CI,Y,Y,35,20,13.29,381.3,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
556,QFJJ-24,MSM,Level accelerated,Y,N,57,30,14.7,412.73,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
557,LGVX-37,CTM,Level with CI,Y,N,44,30,28.1,581.08,N,542,1,11,0,12,8,9,0,-999997
558,XDIA-96,CTM,Level accelerated,Y,Y,49,5,28.14,632.98,N,566,0,-999997,16,11,3,5,0,-999997
559,ALYM-12,CTM,Decreasing with CI,Y,Y,43,30,24.74,591.47,N,499,NULL,-999997,-999997,14,4,7,-999997,NULL
560,CYZX-42,Direct,Level with CI,N,N,46,20,24.69,595.97,Y,542,5,-999997,6,10,6,7,0,-999997
561,FWYO-65,CTM,Decreasing,Y,Y,50,30,16.08,388.9,Y,542,5,-999997,6,10,6,7,0,-999997
562,BCWQ-48,CTM,Level,Y,N,44,10,16.08,388.9,Y,542,5,-999997,6,10,6,7,0,-999997
563,EXEJ-94,MSM,Decreasing,Y,Y,39,30,68.84,2096.88,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
564,ZRBL-60,Direct,Level,N,N,47,20,30.48,921.23,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
565,MGSH-11,MSM,Level,Y,Y,46,40,29.58,896.46,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
566,ZLVA-66,Direct,Level with CI,Y,Y,33,10,29.58,896.46,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
567,BSPF-79,Direct,Decreasing with CI,Y,Y,49,30,29.58,896.46,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
568,KAGG-34,CTM,Level,Y,N,38,20,34.82,1056.52,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
569,DGJV-62,CTM,Decreasing with CI,N,N,51,20,29.58,896.46,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
570,JGXI-37,CTM,Level with CI,Y,N,53,10,29.58,896.46,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
571,MMQA-75,CTM,Level accelerated,N,N,50,30,55.75,1696.74,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
572,ECQU-51,CTM,Decreasing with CI,Y,N,44,30,81.93,2497.02,N,500,NULL,-999997,-999997,{ND},{ND},-999997,-999997,NULL
573,WRFO-73,CTM,Level,N,Y,51,5,7.77,199.73,N,538,2,37,5,23,7,9,0,-999997
574,DPAH-78,MSM,Decreasing,Y,N,54,20,12.09,276.84,N,538,2,37,5,23,7,9,0,-999997
575,KOAZ-54,MSM,Level,Y,N,54,35,7.77,199.73,N,538,2,37,5,23,7,9,0,-999997
576,ESYQ-58,Direct,Level,Y,N,32,10,7.77,199.73,N,538,2,37,5,23,7,9,0,-999997
577,ZFTS-64,Direct,Decreasing with CI,Y,N,50,5,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
578,LSJW-84,Direct,Decreasing,N,Y,45,10,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
579,TOFF-16,CTM,Decreasing,N,N,45,20,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
580,XCZL-24,CTM,Level,N,Y,39,20,13.02,353.38,N,569,1,61,4,8,4,4,0,-999997
581,HEVX-89,CTM,Level,N,N,58,20,13.02,353.38,N,569,1,61,4,8,4,4,0,-999997
582,TPGU-67,CTM,Decreasing,N,Y,40,20,15.44,419.2,N,569,1,61,4,8,4,4,0,-999997
583,ZVNS-28,MSM,Decreasing with CI,N,Y,45,5,20.93,458.25,N,558,1,-999997,5,3,4,7,0,-999997
584,EALF-96,CTM,Level,N,N,43,20,24.1,558.55,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
585,UAYA-24,CTM,Level with CI,Y,Y,40,30,32.73,909.42,N,573,12,-999997,17,11,4,4,0,-999997
586,WWNR-66,Direct,Decreasing with CI,Y,N,52,5,25,642.96,N,573,12,-999997,17,11,4,4,0,-999997
587,LSKZ-58,CTM,Level,N,N,50,30,25,642.96,N,573,12,-999997,17,11,4,4,0,-999997
588,RLUB-63,CTM,Level with CI,Y,N,45,20,165.85,3754.75,N,551,0,217,2,23,6,4,0,-999997
589,TJOK-14,CTM,Decreasing accelerated,Y,N,40,5,4.58,106.66,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
590,SUUY-51,Direct,Level,Y,Y,39,20,4.58,106.66,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
591,NHVQ-58,CTM,Decreasing accelerated,Y,Y,55,20,5.61,130.49,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
592,WXVF-25,Direct,Decreasing with CI,Y,Y,44,30,50.01,1049.1,N,559,2,-999997,9,7,3,6,0,-999997
593,GZFN-32,MSM,Decreasing with CI,Y,N,44,30,37.81,700.19,N,559,2,-999997,9,7,3,6,0,-999997
594,LCVB-45,MSM,Level with CI,N,Y,41,20,21.22,281.24,N,557,1,6,11,19,6,9,0,-999997
595,WSLQ-30,CTM,Level with CI,N,Y,36,20,20.01,258.32,N,557,1,6,11,19,6,9,0,-999997
596,SPJF-83,MSM,Level,Y,N,41,10,18.67,253.04,N,557,1,6,11,19,6,9,0,-999997
597,AGNH-26,CTM,Decreasing,Y,N,34,20,20.01,258.32,N,557,1,6,11,19,6,9,0,-999997
598,ZKBP-99,Direct,Decreasing with CI,N,N,39,20,5.36,132.53,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
599,QQRK-55,CTM,Level accelerated,Y,N,47,5,5.36,132.53,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
600,ARBX-22,CTM,Level with CI,Y,Y,49,30,8.09,171.78,N,574,2,-999997,2,15,8,7,0,-999997
601,ZUHL-73,CTM,Level,N,Y,39,20,16.53,316.94,N,573,2,6,8,9,4,7,0,-999997
602,ZPHB-45,CTM,Decreasing,Y,N,45,15,16.53,316.94,N,573,2,6,8,9,4,7,0,-999997
603,NVUR-85,MSM,Level with CI,Y,Y,37,20,6.34,208.3,N,538,9,-999997,11,16,7,9,0,-999997
604,RXPG-76,MSM,Level with CI,Y,Y,40,10,5.53,142.92,N,538,9,-999997,11,16,7,9,0,-999997
605,MXAX-41,CTM,Level,Y,N,60,20,7.74,200.09,N,538,9,-999997,11,16,7,9,0,-999997
606,XUHH-14,CTM,Decreasing,Y,Y,39,35,5.53,142.92,N,538,9,-999997,11,16,7,9,0,-999997
607,TWEP-53,MSM,Level,N,N,47,25,25.14,609.16,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
608,UTOX-51,Direct,Level with CI,Y,Y,21,25,15.68,384.07,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
609,UTTQ-90,MSM,Decreasing with CI,N,Y,41,30,15.68,384.07,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
610,SJQO-34,CTM,Decreasing,N,Y,27,5,24.17,682.66,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
611,ILUE-45,Direct,Level with CI,Y,N,34,30,24.17,682.66,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
612,PZPX-32,Direct,Level with CI,N,Y,44,30,34.02,624.29,Y,562,2,109,10,14,5,8,0,-999997
613,WEVR-14,CTM,Decreasing with CI,Y,N,33,30,23.66,432.67,Y,562,2,109,10,14,5,8,0,-999997
614,EHJB-63,MSM,Decreasing with CI,N,N,45,20,23.66,432.67,Y,562,2,109,10,14,5,8,0,-999997
615,QWSI-23,Direct,Decreasing with CI,Y,Y,42,30,72.36,1953.35,N,571,2,-999997,0,{ND},{ND},-999997,0,-999997
616,NAGD-27,CTM,Decreasing,N,N,63,30,41,820.73,Y,571,2,-999997,0,{ND},{ND},-999997,0,-999997
617,ATQW-23,CTM,Level accelerated,Y,N,50,35,41,820.73,Y,571,2,-999997,0,{ND},{ND},-999997,0,-999997
618,FECV-31,CTM,Level,Y,Y,46,30,41,820.73,Y,571,2,-999997,0,{ND},{ND},-999997,0,-999997
619,OFKA-52,MSM,Level with CI,N,N,30,10,26.54,968.95,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
620,HVRT-74,CTM,Level,Y,Y,41,10,18.93,470.74,N,559,1,-999997,3,14,4,6,0,-999997
621,EICE-49,MSM,Decreasing with CI,N,Y,47,20,17.94,462.14,N,559,1,-999997,3,14,4,6,0,-999997
622,PMHG-42,CTM,Level,Y,N,46,10,45.65,1016.69,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
623,SNFC-85,CTM,Level,Y,N,46,5,19.85,488.84,Y,537,3,-999997,6,19,7,6,0,-999997
624,DDYR-58,CTM,Decreasing accelerated,Y,N,46,20,19.85,488.84,Y,537,3,-999997,6,19,7,6,0,-999997
625,KHJM-67,MSM,Decreasing with CI,N,N,53,5,19.85,488.84,Y,537,3,-999997,6,19,7,6,0,-999997
626,QGUK-86,Direct,Level with CI,N,N,47,5,19.85,488.84,Y,537,3,-999997,6,19,7,6,0,-999997
627,LBZB-17,Direct,Level,N,Y,45,30,27.59,668.29,Y,537,3,-999997,6,19,7,6,0,-999997
628,JLRF-67,Direct,Level with CI,Y,N,45,30,22.43,548.66,Y,537,3,-999997,6,19,7,6,0,-999997
629,OUGZ-28,Direct,Level,Y,N,48,10,21.14,518.75,Y,537,3,-999997,6,19,7,6,0,-999997
630,DVPA-38,CTM,Level,Y,N,58,5,16.48,333.91,N,564,0,-999997,14,11,4,1,0,-999997
631,QVFY-65,Direct,Level with CI,N,N,59,10,16.48,333.91,N,564,0,-999997,14,11,4,1,0,-999997
632,TDME-44,CTM,Level,Y,Y,47,25,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
633,PYHP-99,Direct,Decreasing,Y,N,45,20,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
634,CWXV-91,CTM,Decreasing with CI,N,N,47,20,61.82,1275.89,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
635,GHPV-16,CTM,Decreasing with CI,N,N,44,20,13.31,379.01,N,524,7,10,7,14,8,9,0,-999997
636,DGHZ-90,Direct,Level accelerated,Y,N,47,15,13.31,379.01,N,524,7,10,7,14,8,9,0,-999997
637,UCKW-92,Direct,Decreasing with CI,N,N,48,30,13.31,379.01,N,524,7,10,7,14,8,9,0,-999997
638,MVPZ-40,CTM,Decreasing with CI,Y,N,56,30,14.74,355.91,Y,549,1,-999997,6,19,6,10,0,-999997
639,IVOB-68,CTM,Level,Y,N,36,40,35.91,916.41,N,584,3,-999997,1,8,2,9,0,-999997
640,NSCK-30,CTM,Decreasing,Y,N,44,20,87.29,2190.76,N,584,3,-999997,1,8,2,9,0,-999997
641,CMAT-56,CTM,Level,Y,N,44,5,45.43,1107.79,N,584,3,-999997,1,8,2,9,0,-999997
642,UAEG-76,CTM,Level with CI,Y,N,59,25,35.91,916.41,N,584,3,-999997,1,8,2,9,0,-999997
643,JLLO-98,Direct,Level with CI,Y,N,44,30,68.62,1809.44,N,584,3,-999997,1,8,2,9,0,-999997
644,BBHD-90,Direct,Level,Y,N,37,30,13.65,308.69,N,584,3,-999997,1,8,2,9,0,-999997
645,KIBJ-35,Direct,Decreasing accelerated,Y,N,37,20,381.22,8752.28,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
646,IFEF-67,Direct,Decreasing,N,N,39,10,90.3,2033.56,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
647,UGGR-67,Direct,Level,Y,N,47,25,100.98,2274.08,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
648,SVTJ-74,CTM,Level,Y,Y,56,15,90.3,2033.56,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
649,VFIY-76,CTM,Level,Y,Y,44,10,111.66,2514.58,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
650,ELZR-41,Direct,Level,Y,N,48,30,90.3,2033.56,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
651,AMQZ-75,CTM,Level,Y,N,38,20,10,237.35,N,559,1,21,8,16,5,2,0,-999997
652,ELYI-94,MSM,Level,Y,Y,36,25,10,237.35,N,559,1,21,8,16,5,2,0,-999997
653,XSMX-47,Direct,Level,N,N,49,20,52.99,935.17,N,559,1,21,8,16,5,2,0,-999997
654,PLIM-12,CTM,Level,N,N,58,10,20.01,359.93,N,559,1,21,8,16,5,2,0,-999997
655,HISH-77,CTM,Decreasing with CI,Y,Y,49,20,15.93,469.13,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
656,GAGO-47,CTM,Level,Y,N,33,20,115.06,2316.24,N,568,6,-999997,19,8,3,3,0,-999997
657,REYP-28,CTM,Level with CI,Y,N,42,20,226.64,4561.86,N,568,6,-999997,19,8,3,3,0,-999997
658,BDEE-84,CTM,Level,Y,N,54,15,115.06,2316.24,N,568,6,-999997,19,8,3,3,0,-999997
659,ADNR-99,CTM,Level with CI,Y,Y,50,30,15,390.94,Y,568,5,31,6,13,3,1,0,-999997
660,TAAL-29,CTM,Level,Y,N,48,30,36.6,811.44,N,558,8,-999997,14,14,4,2,0,-999997
661,CAAJ-59,CTM,Level,Y,N,51,30,36.6,811.44,N,558,8,-999997,14,14,4,2,0,-999997
662,UPDH-56,CTM,Decreasing with CI,Y,Y,52,30,60.81,1832.46,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
663,OXNL-27,Direct,Level,N,N,54,30,83.64,2585.67,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
664,FXSM-48,Direct,Decreasing with CI,Y,Y,39,30,41.35,1150.92,Y,587,2,24,4,6,3,5,0,-999997
665,FOHS-37,CTM,Level accelerated,N,Y,41,30,41.35,1150.92,Y,587,2,24,4,6,3,5,0,-999997
666,GRPA-49,Direct,Level accelerated,N,N,49,20,41.35,1150.92,Y,587,2,24,4,6,3,5,0,-999997
667,ZZCD-62,Direct,Level,Y,N,48,20,41.35,1150.92,Y,587,2,24,4,6,3,5,0,-999997
668,VPKF-90,CTM,Level with CI,Y,Y,48,20,41.35,1150.92,Y,587,2,24,4,6,3,5,0,-999997
669,PALU-55,CTM,Decreasing,Y,N,52,30,20,378.37,N,564,6,158,1,{ND},5,99,0,-999997
670,MNKO-56,CTM,Decreasing with CI,Y,N,53,25,37.77,739.26,N,564,6,158,1,{ND},5,99,0,-999997
671,SYRB-81,CTM,Decreasing accelerated,N,Y,34,10,8.21,169.34,N,561,2,-999997,3,18,6,7,0,-999997
672,KNPV-40,CTM,Decreasing with CI,Y,N,52,10,11.96,246.92,N,561,2,-999997,3,18,6,7,0,-999997
673,XNHW-87,Direct,Level,Y,N,34,10,18.35,398.32,N,561,2,-999997,3,18,6,7,0,-999997
674,XIAW-19,CTM,Level,N,N,47,30,13.42,269.92,N,561,2,-999997,3,18,6,7,0,-999997
675,RAOE-90,Direct,Level accelerated,Y,N,40,10,11.96,246.92,N,561,2,-999997,3,18,6,7,0,-999997
676,PNFG-58,Direct,Level,Y,N,48,30,14.74,355.91,Y,549,1,-999997,6,19,6,10,0,-999997
677,ABQX-85,CTM,Decreasing with CI,Y,N,46,20,14.74,355.91,Y,549,1,-999997,6,19,6,10,0,-999997
678,MCWN-57,CTM,Decreasing with CI,N,Y,44,20,13.81,366.16,Y,568,5,31,6,13,3,1,0,-999997
679,NSOV-71,CTM,Decreasing,Y,Y,44,25,12.78,340.01,Y,568,5,31,6,13,3,1,0,-999997
680,GFZI-43,CTM,Level,N,N,45,30,13.81,366.16,Y,568,5,31,6,13,3,1,0,-999997
681,BSTC-16,CTM,Level,Y,N,53,20,134.71,3920.09,N,539,5,-999997,2,12,5,7,0,-999997
682,GARE-12,CTM,Decreasing with CI,N,N,46,5,23.83,612.02,Y,558,2,-999997,0,5,8,5,0,-999997
683,KHEB-31,CTM,Level with CI,Y,N,32,10,23.83,612.02,N,558,2,-999997,0,5,8,5,0,-999997
684,UAEK-13,Direct,Level with CI,N,N,35,5,23.83,612.02,N,558,2,-999997,0,5,8,5,0,-999997
685,JQMX-78,CTM,Decreasing,N,Y,28,20,23.83,612.02,Y,558,2,-999997,0,5,8,5,0,-999997
686,TDOK-78,MSM,Decreasing accelerated,Y,N,62,30,23.83,612.02,Y,558,2,-999997,0,5,8,5,0,-999997
687,NPCA-84,MSM,Decreasing with CI,N,N,32,10,30.19,759.54,N,557,7,-999997,3,13,5,2,0,-999997
688,EDFD-39,MSM,Decreasing,Y,Y,53,5,30.19,759.54,N,557,7,-999997,3,13,5,2,0,-999997
689,PYYP-51,CTM,Level,N,N,47,30,16.22,376.17,N,561,0,109,12,11,4,9,0,-999997
690,QEQV-88,CTM,Level,N,N,47,5,83.17,2376.85,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
691,SYHW-80,Direct,Level accelerated,Y,Y,33,20,24.1,558.55,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
692,ZDQS-77,CTM,Level with CI,N,N,54,20,24.1,558.55,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
693,BIRL-49,Direct,Decreasing with CI,N,N,43,30,28.26,763.19,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
694,YFLX-48,Direct,Level,Y,N,47,30,28.26,763.19,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
695,IUFL-97,Direct,Level,N,Y,46,5,28.26,763.19,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
696,YCYI-49,Direct,Level with CI,Y,N,34,10,28.26,763.19,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
697,IOAE-37,CTM,Decreasing with CI,N,Y,48,15,9.62,263.39,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
698,MQYQ-16,MSM,Level,Y,N,41,10,9.62,263.39,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
699,RMYF-47,Direct,Level with CI,Y,N,48,20,9.62,263.39,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
700,ONGM-50,MSM,Decreasing with CI,Y,N,38,20,28.5,506.08,Y,514,4,16,14,23,7,10,0,-999997
701,HMEQ-11,Direct,Decreasing accelerated,Y,N,42,30,28.5,506.08,Y,514,4,16,14,23,7,10,0,-999997
702,FFTI-33,CTM,Level,Y,N,35,20,28.5,506.08,Y,514,4,16,14,23,7,10,0,-999997
703,GJQK-92,CTM,Level with CI,Y,Y,51,35,28.5,506.08,Y,514,4,16,14,23,7,10,0,-999997
704,YCTK-72,CTM,Decreasing with CI,N,N,33,20,25.97,539.37,N,561,2,-999997,3,18,6,7,0,-999997
705,SIKK-65,Direct,Level,N,N,44,5,11.96,246.92,N,561,2,-999997,3,18,6,7,0,-999997
706,QWTD-99,Direct,Level,N,Y,45,20,10.21,210.37,N,561,2,-999997,3,18,6,7,0,-999997
707,EIPV-48,MSM,Level,Y,N,32,20,159.19,4405.42,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
708,JGZR-41,Direct,Level,N,N,43,30,159.19,4405.42,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
709,IHCR-14,CTM,Level with CI,Y,Y,39,5,24.13,586.87,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
710,NEWC-23,MSM,Level with CI,Y,Y,45,5,71.64,2016.24,N,539,5,-999997,2,12,5,7,0,-999997
711,NXCD-94,Direct,Level,N,Y,55,20,31.37,673.9,Y,568,5,31,6,13,3,1,0,-999997
712,YEBO-64,CTM,Decreasing,N,Y,35,20,27.01,578.02,Y,568,5,31,6,13,3,1,0,-999997
713,MDAE-18,MSM,Decreasing accelerated,Y,N,33,20,34.16,729.61,Y,568,5,31,6,13,3,1,0,-999997
714,LNMA-46,CTM,Level,Y,N,47,10,18,374.51,Y,568,5,31,6,13,3,1,0,-999997
715,EOGD-92,MSM,Decreasing accelerated,Y,Y,40,20,13.81,366.16,Y,568,5,31,6,13,3,1,0,-999997
716,SCZT-78,CTM,Level,Y,N,33,30,13.81,366.16,Y,568,5,31,6,13,3,1,0,-999997
717,VZAJ-37,CTM,Decreasing,Y,Y,31,30,37.46,844.36,N,535,9,-999997,10,21,6,5,0,-999997
718,MRCX-27,Direct,Decreasing with CI,Y,N,54,5,37.46,844.36,N,535,9,-999997,10,21,6,5,0,-999997
719,SHAM-22,CTM,Decreasing with CI,Y,Y,48,20,33.97,727.12,N,535,9,-999997,10,21,6,5,0,-999997
720,HYWW-54,CTM,Level,N,N,53,10,43.1,1165.86,Y,561,4,-999997,3,{ND},5,99,0,-999997
721,NHTH-57,Direct,Decreasing with CI,Y,N,45,10,54.83,1675.94,N,555,3,5,7,11,3,10,0,-999997
722,VBOM-95,MSM,Level,N,N,54,30,11.85,307.71,N,555,3,5,7,11,3,10,0,-999997
723,EEGH-18,CTM,Level,N,N,27,10,29.4,133.79,Y,567,4,20,12,15,6,5,0,-999997
724,JLLS-55,CTM,Decreasing with CI,Y,N,51,5,29.4,133.79,Y,567,4,20,12,15,6,5,0,-999997
725,NLMW-48,CTM,Decreasing,N,Y,42,20,38.2,173.83,Y,567,4,20,12,15,6,5,0,-999997
726,YOEM-62,CTM,Decreasing with CI,Y,Y,39,10,38.2,173.83,Y,567,4,20,12,15,6,5,0,-999997
727,YOKL-43,Direct,Level with CI,N,Y,46,20,58.07,1643.73,N,550,4,-999997,6,13,5,7,0,-999997
728,EQGG-75,Direct,Level,N,N,58,20,101.52,2739.54,N,550,4,-999997,6,13,5,7,0,-999997
729,RUMM-21,CTM,Decreasing with CI,N,Y,46,20,168.68,4338.4,N,541,3,-999997,15,6,3,5,1,63
730,LCXG-86,CTM,Level,N,Y,40,25,130.22,3477.64,N,541,3,-999997,15,6,3,5,1,63
731,TBMW-67,Direct,Level with CI,N,N,41,20,40.69,835.3,N,555,12,-999997,15,15,5,4,0,-999997
732,IIID-70,CTM,Level with CI,Y,N,39,10,20.74,536.53,N,575,3,-999997,7,6,4,4,0,-999997
733,BYVP-41,CTM,Decreasing,Y,N,47,5,24.07,369.59,N,572,0,157,4,7,4,7,0,-999997
734,OVYH-33,CTM,Decreasing,Y,Y,32,20,24.07,369.59,N,572,0,157,4,7,4,7,0,-999997
735,XCLU-79,MSM,Level with CI,Y,N,37,20,24.07,369.59,N,572,0,157,4,7,4,7,0,-999997
736,PECG-30,CTM,Decreasing with CI,Y,Y,45,35,27.64,665.55,N,532,3,-999997,3,18,6,6,0,-999997
737,QIJY-93,CTM,Decreasing with CI,Y,Y,33,20,29.3,703.91,N,532,3,-999997,3,18,6,6,0,-999997
738,OESF-67,CTM,Decreasing with CI,Y,Y,43,20,12.99,186.63,N,538,1,12,3,23,6,6,0,-999997
739,ZJEK-61,CTM,Level with CI,N,N,48,10,99.93,2245.07,N,556,3,-999997,14,7,6,7,0,-999997
740,JORX-20,MSM,Level with CI,N,N,43,10,102.51,2324.43,Y,556,3,-999997,14,7,6,7,0,-999997
741,ZWMV-58,MSM,Level with CI,Y,N,48,10,61.41,1208.38,Y,556,3,-999997,14,7,6,7,0,-999997
742,TVYW-18,CTM,Decreasing with CI,N,N,45,30,89.46,1758.55,Y,556,3,-999997,14,7,6,7,0,-999997
743,QYGO-58,CTM,Level with CI,Y,Y,45,5,61.41,1208.38,Y,556,3,-999997,14,7,6,7,0,-999997
744,OSFW-37,MSM,Level,N,N,22,30,59.53,1159.54,N,556,3,-999997,14,7,6,7,0,-999997
745,RWYK-45,CTM,Level with CI,Y,Y,40,30,142.69,3415.32,Y,556,3,-999997,14,7,6,7,0,-999997
746,AFMU-13,CTM,Level,Y,N,44,10,11.86,288.6,Y,555,6,-999997,15,15,5,4,0,-999997
747,SHOP-68,MSM,Level,Y,Y,39,20,11.86,288.6,Y,555,6,-999997,15,15,5,4,0,-999997
748,KGXX-14,CTM,Decreasing accelerated,Y,Y,44,30,11.86,288.6,Y,555,6,-999997,15,15,5,4,0,-999997
749,RXHZ-75,CTM,Decreasing with CI,Y,Y,51,30,17.4,249.8,N,563,3,-999997,0,16,8,6,0,-999997
750,YVNW-25,CTM,Level,Y,N,48,30,17.4,249.8,N,563,3,-999997,0,16,8,6,0,-999997
751,LSIH-91,MSM,Decreasing accelerated,Y,N,39,10,26.69,746.76,N,545,10,-999997,4,22,4,7,0,-999997
752,NRDN-92,Direct,Level with CI,Y,Y,36,20,12.95,343.17,N,545,10,-999997,4,22,4,7,0,-999997
